,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,
190.5,0,2,1,1,2,3,4,2,2,190500
190.6,1,2,4,2,2,1,2,0,2,190600
190.7,3,1,1,2,0,0,3,1,1,190700
190.8,0,1,4,0,3,3,3,1,3,190800
190.9,1,2,2,1,3,0,3,0,2,190900
191,2,0,3,0,5,2,1,0,3,191000
191.1,0,1,1,1,1,3,4,1,1,191100
191.2,0,1,7,3,3,2,2,0,4,191200
191.3,7,1,6,2,4,1,3,0,3,191300
191.4,1,5,1,2,3,2,0,1,3,191400
191.5,0,0,1,1,7,0,2,0,2,191500
191.6,1,0,3,0,2,3,4,1,1,191600
191.7,2,0,1,4,2,4,6,0,1,191700
191.8,0,0,2,3,3,1,4,0,0,191800
191.9,1,0,3,1,4,0,6,1,3,191900
192,0,0,1,0,4,4,2,1,9,192000
192.1,3,4,2,1,9,0,3,0,11,192100
192.2,4,0,2,1,4,2,7,0,4,192200
192.3,2,3,3,3,1,1,3,0,0,192300
192.4,0,3,1,1,2,0,4,1,1,192400
192.5,1,0,2,1,4,5,2,0,3,192500
192.6,5,1,0,6,2,2,5,1,11,192600
192.7,0,0,2,1,4,2,3,3,11,192700
192.8,2,0,0,0,4,1,12,0,4,192800
192.9,4,1,3,2,3,3,11,0,2,192900
193,1,1,1,2,5,3,3,0,1,193000
193.1,0,0,4,0,1,7,4,2,1,193100
193.2,1,1,2,2,1,2,0,0,2,193200
193.3,1,0,1,4,4,3,4,0,2,193300
193.4,2,2,2,2,5,3,0,1,3,193400
193.5,2,2,3,2,4,6,2,0,2,193500
193.6,1,2,2,2,0,4,0,0,5,193600
193.7,0,0,2,1,3,0,0,0,2,193700
193.8,2,1,3,0,4,2,0,0,4,193800
193.9,2,0,2,6,4,2,1,3,8,193900
194,0,2,3,2,4,2,2,0,2,194000
194.1,2,3,2,0,2,2,2,0,3,194100
194.2,1,1,3,2,4,2,3,0,3,194200
194.3,2,1,3,1,2,1,3,1,1,194300
194.4,3,2,1,3,1,3,3,2,2,194400
194.5,0,3,2,2,1,2,8,0,3,194500
194.6,2,2,4,4,1,2,7,0,3,194600
194.7,0,0,3,2,0,5,0,1,2,194700
194.8,1,1,4,6,1,1,5,0,3,194800
194.9,1,1,5,2,2,4,3,0,2,194900
195,0,0,3,3,7,2,1,0,2,195000
195.1,4,2,2,1,4,4,2,0,7,195100
195.2,1,2,3,2,2,0,3,0,2,195200
195.3,4,2,5,4,2,1,2,1,3,195300
195.4,0,2,2,2,3,5,5,1,1,195400
195.5,2,3,0,3,2,1,2,0,1,195500
195.6,2,1,1,1,6,3,2,1,5,195600
195.7,1,2,3,1,3,1,6,0,3,195700
195.8,4,3,1,0,3,2,1,2,0,195800
195.9,1,0,1,2,5,5,7,1,0,195900
196,2,1,2,1,5,3,3,0,1,196000
196.1,5,3,1,0,2,3,3,1,2,196100
196.2,0,1,5,2,4,0,3,1,2,196200
196.3,1,1,1,1,5,4,2,1,2,196300
196.4,1,4,1,2,2,2,18,0,1,196400
196.5,3,2,2,5,2,1,14,1,4,196500
196.6,1,2,1,3,0,0,3,0,6,196600
196.7,2,0,0,6,2,1,2,1,3,196700
196.8,1,0,2,2,5,1,7,0,1,196800
196.9,1,0,3,0,0,3,5,0,5,196900
197,0,0,4,3,7,8,2,0,1,197000
197.1,2,2,5,5,2,1,0,1,2,197100
197.2,1,2,4,4,1,2,4,0,2,197200
197.3,1,0,4,0,2,2,9,0,3,197300
197.4,1,3,1,5,2,1,3,0,4,197400
197.5,3,0,3,0,5,1,2,0,0,197500
197.6,1,1,2,4,4,4,1,0,4,197600
197.7,1,1,2,0,2,2,2,0,4,197700
197.8,2,3,3,2,4,2,6,0,3,197800
197.9,1,0,2,2,2,1,2,0,2,197900
198,0,0,0,0,3,1,0,0,5,198000
198.1,3,5,3,4,3,1,0,2,3,198100
198.2,0,3,0,0,1,0,3,0,2,198200
198.3,7,1,1,2,1,6,2,0,1,198300
198.4,2,1,3,4,4,1,4,1,3,198400
198.5,2,1,4,0,4,0,3,0,2,198500
198.6,2,0,3,3,2,0,2,1,1,198600
198.7,0,0,1,4,2,2,3,1,4,198700
198.8,0,0,3,2,0,1,2,1,0,198800
198.9,2,2,2,0,2,3,1,1,6,198900
199,6,1,1,2,2,3,0,0,2,199000
199.1,0,0,1,3,4,2,5,0,3,199100
199.2,1,1,2,3,0,3,8,0,1,199200
199.3,3,2,1,3,2,2,4,0,1,199300
199.4,5,1,3,3,2,3,1,0,2,199400
199.5,3,1,1,1,2,1,1,0,0,199500
199.6,3,1,4,3,3,2,2,0,3,199600
199.7,1,3,3,1,2,4,3,0,3,199700
199.8,2,1,0,1,1,5,1,2,2,199800
199.9,2,2,2,1,4,4,33,1,2,199900
200,1,2,1,2,0,6,13,0,4,200000
200.1,0,1,1,0,3,5,10,0,3,200100
200.2,2,2,2,5,3,2,9,0,1,200200
200.3,1,2,5,2,1,3,3,0,3,200300
200.4,3,1,0,1,4,4,2,0,2,200400
200.5,0,2,2,1,4,2,6,1,1,200500
200.6,0,0,2,0,1,1,3,1,3,200600
200.7,2,1,0,0,2,3,1,0,1,200700
200.8,2,3,5,1,4,2,2,1,1,200800
200.9,2,3,1,4,8,1,0,0,3,200900
201,2,0,4,3,1,1,2,0,0,201000
201.1,0,0,0,0,5,6,1,0,2,201100
201.2,0,0,2,2,2,2,0,0,4,201200
201.3,1,0,4,2,5,2,1,0,1,201300
201.4,1,1,4,4,1,8,2,0,3,201400
201.5,1,2,2,2,3,4,4,1,2,201500
201.6,1,1,4,3,3,5,4,0,2,201600
201.7,0,0,5,1,2,1,2,0,2,201700
201.8,3,1,3,1,2,2,2,1,2,201800
201.9,3,0,3,1,1,1,3,0,1,201900
202,2,2,1,4,2,7,2,0,1,202000
202.1,0,3,1,1,1,2,1,0,3,202100
202.2,1,1,2,3,7,7,3,0,1,202200
202.3,3,2,4,1,4,3,2,0,1,202300
202.4,2,2,3,0,3,3,10,0,5,202400
202.5,1,0,2,0,4,1,9,0,2,202500
202.6,3,0,4,5,3,3,2,0,1,202600
202.7,3,2,5,3,9,2,22,0,5,202700
202.8,1,2,1,1,3,6,8,0,3,202800
202.9,1,1,3,3,1,4,4,0,2,202900
203,1,0,1,2,5,3,0,0,2,203000
203.1,1,0,1,0,5,1,0,2,5,203100
203.2,2,2,1,5,3,2,1,0,0,203200
203.3,4,0,3,6,5,1,2,0,3,203300
203.4,0,1,1,1,5,3,5,0,2,203400
203.5,2,1,2,2,2,1,4,2,1,203500
203.6,4,0,3,1,6,2,2,0,1,203600
203.7,4,1,4,3,2,2,0,0,1,203700
203.8,5,1,4,2,1,4,1,2,3,203800
203.9,1,1,1,2,5,1,4,0,3,203900
204,1,1,4,2,3,3,2,0,1,204000
204.1,2,3,2,0,4,1,6,0,3,204100
204.2,1,0,2,2,3,5,2,0,3,204200
204.3,1,2,2,4,5,3,3,1,3,204300
204.4,2,0,0,3,1,3,2,0,8,204400
204.5,4,0,2,6,3,5,5,0,1,204500
204.6,2,3,0,3,1,2,6,0,3,204600
204.7,4,3,1,3,4,1,6,2,1,204700
204.8,2,2,0,0,3,3,1,0,1,204800
204.9,3,1,3,3,2,3,4,0,1,204900
205,2,1,6,2,2,3,1,0,3,205000
205.1,2,2,1,2,4,1,4,0,4,205100
205.2,1,1,4,6,3,7,0,1,2,205200
205.3,2,3,2,1,3,2,3,0,4,205300
205.4,3,0,4,4,5,2,2,0,3,205400
205.5,3,0,2,0,7,2,2,0,1,205500
205.6,2,1,3,1,3,2,1,0,1,205600
205.7,2,1,4,3,0,2,4,0,1,205700
205.8,2,3,4,2,0,3,3,0,1,205800
205.9,2,0,2,0,8,3,2,1,3,205900
206,4,3,1,2,2,4,2,0,3,206000
206.1,3,0,2,2,1,3,3,0,4,206100
206.2,2,2,2,4,1,2,6,0,3,206200
206.3,2,2,1,3,6,4,4,0,3,206300
206.4,1,3,1,5,4,2,6,1,5,206400
206.5,2,1,4,1,6,3,5,1,1,206500
206.6,1,0,1,2,4,1,1,0,2,206600
206.7,6,0,1,4,2,5,2,1,1,206700
206.8,3,3,2,1,4,2,7,1,3,206800
206.9,1,0,1,4,4,3,1,0,3,206900
207,4,0,1,3,4,3,2,1,6,207000
207.1,3,0,4,2,6,5,0,1,3,207100
207.2,1,1,1,3,2,0,3,0,4,207200
207.3,2,2,3,1,2,2,4,1,2,207300
207.4,1,1,3,1,2,1,0,2,1,207400
207.5,3,1,2,3,7,2,4,1,3,207500
207.6,2,1,3,2,3,3,2,0,2,207600
207.7,1,3,2,1,3,2,6,0,2,207700
207.8,4,1,0,3,3,3,3,0,4,207800
207.9,2,2,1,2,4,4,2,0,1,207900
208,3,1,0,5,2,4,2,1,3,208000
208.1,1,3,1,2,6,2,2,2,2,208100
208.2,1,2,3,3,2,2,2,0,3,208200
208.3,1,1,1,5,6,0,3,0,2,208300
208.4,1,3,3,6,4,3,3,0,3,208400
208.5,4,1,2,1,4,3,26,1,1,208500
208.6,4,2,1,4,4,3,11,1,0,208600
208.7,1,1,1,1,1,6,6,0,3,208700
208.8,1,2,1,2,4,3,27,0,4,208800
208.9,0,3,2,1,7,2,10,1,3,208900
209,2,1,0,1,4,3,6,0,3,209000
209.1,3,3,3,1,4,2,2,0,2,209100
209.2,0,1,1,2,2,3,4,0,4,209200
209.3,1,1,1,1,3,4,3,0,5,209300
209.4,1,1,2,0,1,3,3,1,4,209400
209.5,2,2,1,2,1,1,3,0,2,209500
209.6,2,2,2,2,3,1,7,0,3,209600
209.7,5,2,2,1,6,1,3,1,5,209700
209.8,3,1,3,3,4,2,1,0,3,209800
209.9,3,2,2,3,3,3,2,0,3,209900
210,3,2,4,4,3,2,2,2,2,210000
210.1,2,1,3,3,2,1,5,0,0,210100
210.2,2,0,0,3,2,2,3,1,3,210200
210.3,0,0,2,3,4,1,1,1,3,210300
210.4,3,3,4,1,1,7,3,0,4,210400
210.5,1,0,3,3,2,3,5,1,3,210500
210.6,1,1,2,6,1,1,1,0,0,210600
210.7,1,2,3,3,5,6,4,0,5,210700
210.8,0,2,4,3,2,2,0,0,4,210800
210.9,3,2,5,3,3,2,2,0,4,210900
211,2,0,2,4,4,1,2,0,2,211000
211.1,0,1,2,2,5,2,0,0,2,211100
211.2,2,2,3,1,2,1,0,1,5,211200
211.3,1,2,1,1,3,1,1,0,0,211300
211.4,4,0,4,4,2,4,0,0,3,211400
211.5,3,1,4,1,2,2,1,0,1,211500
211.6,2,0,3,0,1,2,1,0,1,211600
211.7,1,0,4,2,3,4,7,0,2,211700
211.8,2,1,1,2,6,3,5,0,2,211800
211.9,0,0,2,2,9,1,6,0,3,211900
212,3,1,3,2,0,3,4,0,3,212000
212.1,1,1,4,3,4,0,2,0,1,212100
212.2,1,1,2,4,3,1,3,0,4,212200
212.3,3,2,1,4,4,2,3,2,2,212300
212.4,1,0,3,3,3,2,1,0,3,212400
212.5,1,1,1,3,5,2,1,1,1,212500
212.6,1,5,1,0,1,3,1,0,4,212600
212.7,3,2,1,1,2,2,3,0,2,212700
212.8,1,3,0,2,5,3,1,0,5,212800
212.9,0,1,1,3,5,3,3,0,2,212900
213,3,2,0,2,3,4,2,0,1,213000
213.1,1,1,6,3,7,3,1,1,3,213100
213.2,2,2,2,3,3,2,2,1,2,213200
213.3,1,2,0,3,1,2,3,1,2,213300
213.4,0,0,1,5,5,1,5,0,1,213400
213.5,1,1,1,5,4,3,3,1,1,213500
213.6,2,3,4,4,3,4,1,0,5,213600
213.7,0,3,2,4,5,3,2,0,4,213700
213.8,2,3,3,7,4,2,2,1,4,213800
213.9,0,3,2,5,3,2,2,1,2,213900
214,1,4,5,4,7,0,2,0,0,214000
214.1,2,3,3,3,5,1,2,1,5,214100
214.2,3,2,3,3,4,2,1,1,2,214200
214.3,4,1,3,1,4,2,2,1,3,214300
214.4,1,1,6,0,5,3,0,1,3,214400
214.5,1,0,3,1,2,0,1,0,3,214500
214.6,0,1,1,1,2,4,1,0,3,214600
214.7,1,1,2,2,3,2,4,0,3,214700
214.8,0,3,1,2,2,0,0,0,4,214800
214.9,2,2,2,1,5,0,6,0,2,214900
215,3,3,0,2,5,1,4,0,9,215000
215.1,2,2,6,2,5,2,5,1,2,215100
215.2,3,3,1,5,0,0,3,0,7,215200
215.3,4,0,2,3,3,5,6,1,2,215300
215.4,3,3,0,0,4,1,0,1,4,215400
215.5,1,0,3,3,2,3,3,0,2,215500
215.6,0,4,2,2,6,4,1,0,0,215600
215.7,3,2,5,4,3,0,4,0,0,215700
215.8,3,4,4,1,4,2,2,0,4,215800
215.9,3,2,2,3,5,5,3,0,6,215900
216,1,1,0,2,3,2,2,0,2,216000
216.1,1,2,4,3,3,4,3,0,2,216100
216.2,2,1,3,1,3,2,1,0,2,216200
216.3,0,3,0,6,4,6,3,0,0,216300
216.4,1,1,0,2,4,3,7,0,2,216400
216.5,3,2,1,3,1,7,4,1,1,216500
216.6,1,0,2,2,3,0,2,0,4,216600
216.7,2,2,4,0,7,1,1,1,1,216700
216.8,1,3,1,4,6,4,2,1,2,216800
216.9,2,2,1,2,0,2,2,0,2,216900
217,1,1,0,3,6,2,4,0,1,217000
217.1,4,0,0,2,6,2,1,0,10,217100
217.2,0,3,1,1,3,2,1,2,6,217200
217.3,2,2,1,4,4,0,5,0,2,217300
217.4,1,1,3,2,3,4,3,0,7,217400
217.5,3,1,6,4,5,0,2,1,2,217500
217.6,1,1,3,1,4,2,0,0,4,217600
217.7,5,3,4,1,4,4,4,1,3,217700
217.8,1,2,2,2,7,2,4,1,5,217800
217.9,0,4,1,1,4,1,4,1,2,217900
218,1,4,0,1,6,0,2,0,0,218000
218.1,4,0,3,1,8,3,8,1,5,218100
218.2,5,1,1,1,3,4,2,2,2,218200
218.3,1,2,1,0,5,0,4,1,5,218300
218.4,1,2,1,3,2,3,1,1,1,218400
218.5,2,1,2,2,4,7,1,1,3,218500
218.6,3,1,0,2,3,2,4,0,2,218600
218.7,2,3,3,2,8,3,2,0,0,218700
218.8,1,0,0,1,3,1,0,1,3,218800
218.9,0,1,1,3,5,3,1,0,0,218900
219,3,1,2,1,2,2,4,1,2,219000
219.1,3,3,4,2,2,2,0,0,1,219100
219.2,1,0,1,3,2,2,1,0,3,219200
219.3,4,1,1,3,3,3,2,0,2,219300
219.4,1,0,2,1,3,2,2,0,5,219400
219.5,3,0,4,3,3,4,3,0,5,219500
219.6,1,2,2,2,3,1,1,1,2,219600
219.7,4,1,2,4,1,2,2,0,2,219700
219.8,0,4,4,5,3,1,0,1,1,219800
219.9,2,0,2,4,5,1,3,1,4,219900
220,0,2,1,2,3,0,4,0,2,220000
220.1,1,2,1,3,5,3,1,0,1,220100
220.2,1,3,2,1,2,4,3,2,4,220200
220.3,1,1,2,0,2,3,0,0,2,220300
220.4,1,2,1,3,4,2,6,0,2,220400
220.5,2,1,2,0,3,2,6,0,2,220500
220.6,1,1,2,4,4,2,1,0,3,220600
220.7,3,1,4,0,1,2,2,0,6,220700
220.8,1,0,4,1,1,4,0,0,3,220800
220.9,1,1,3,4,3,1,0,0,0,220900
221,0,0,0,7,5,1,3,1,4,221000
221.1,1,2,3,4,4,1,2,0,2,221100
221.2,2,0,1,7,2,2,0,0,5,221200
221.3,0,3,0,2,3,4,2,0,3,221300
221.4,2,0,2,3,3,2,2,0,2,221400
221.5,2,1,5,1,1,3,3,0,1,221500
221.6,0,3,1,1,2,5,0,0,5,221600
221.7,3,1,3,3,5,2,1,1,3,221700
221.8,1,2,1,2,5,3,4,0,4,221800
221.9,0,2,2,4,2,5,6,0,4,221900
222,0,4,5,1,4,2,4,0,3,222000
222.1,2,3,2,2,3,2,7,0,4,222100
222.2,3,1,0,1,4,1,6,0,5,222200
222.3,6,0,2,3,5,5,2,0,3,222300
222.4,5,1,3,0,5,5,4,1,4,222400
222.5,2,2,1,2,3,3,3,1,0,222500
222.6,2,1,3,2,5,0,4,0,2,222600
222.7,3,3,2,4,8,2,3,0,3,222700
222.8,1,3,2,4,3,2,4,0,1,222800
222.9,2,1,3,3,7,5,3,0,3,222900
223,1,1,1,1,7,1,4,1,3,223000
223.1,2,2,2,4,3,1,2,2,3,223100
223.2,2,1,3,4,6,1,3,0,2,223200
223.3,0,0,2,2,5,5,10,0,4,223300
223.4,2,0,2,2,2,3,6,0,4,223400
223.5,3,3,7,1,5,0,3,0,1,223500
223.6,3,1,2,2,0,4,5,0,1,223600
223.7,0,2,2,2,4,0,2,1,0,223700
223.8,1,3,4,2,5,1,13,1,0,223800
223.9,5,1,0,0,2,4,4,0,1,223900
224,2,1,0,5,4,0,2,0,2,224000
224.1,1,3,1,1,5,2,2,1,5,224100
224.2,1,0,5,1,5,0,1,0,6,224200
224.3,3,0,1,3,3,2,3,0,1,224300
224.4,2,5,0,6,2,3,6,0,4,224400
224.5,2,2,2,1,5,2,7,3,3,224500
224.6,0,0,1,2,4,4,5,0,1,224600
224.7,1,1,2,3,6,6,4,1,2,224700
224.8,0,1,3,2,3,1,2,1,1,224800
224.9,2,3,1,2,3,5,3,1,2,224900
225,1,1,3,3,4,2,1,0,1,225000
225.1,1,1,1,3,4,0,6,0,3,225100
225.2,6,5,6,1,3,1,1,0,0,225200
225.3,0,1,2,5,4,3,7,1,5,225300
225.4,2,2,5,3,5,3,6,1,3,225400
225.5,1,2,1,0,6,3,6,0,1,225500
225.6,3,4,5,3,4,2,3,0,1,225600
225.7,0,1,1,3,5,1,2,1,0,225700
225.8,0,2,2,4,3,4,1,0,1,225800
225.9,3,3,3,3,0,2,4,0,2,225900
226,1,0,1,1,2,3,3,0,0,226000
226.1,4,2,3,3,5,5,1,0,1,226100
226.2,5,4,1,4,1,0,1,0,0,226200
226.3,4,4,3,4,2,4,7,1,2,226300
226.4,3,2,2,4,0,1,6,1,2,226400
226.5,2,4,2,1,3,2,3,0,2,226500
226.6,1,1,4,1,3,1,3,0,0,226600
226.7,1,1,5,2,3,2,3,1,4,226700
226.8,1,3,2,2,5,3,1,0,0,226800
226.9,1,1,4,1,3,0,2,0,1,226900
227,0,0,3,0,3,1,3,0,4,227000
227.1,4,0,1,4,7,5,2,0,0,227100
227.2,3,2,1,3,3,0,0,1,3,227200
227.3,3,1,3,2,2,2,9,1,1,227300
227.4,1,2,2,3,5,1,3,0,2,227400
227.5,2,0,2,3,1,4,3,0,3,227500
227.6,3,1,2,3,4,2,3,2,0,227600
227.7,4,2,1,1,1,2,2,0,0,227700
227.8,1,4,0,2,2,3,3,1,2,227800
227.9,3,2,1,2,3,3,2,0,0,227900
228,2,1,0,1,3,6,3,0,2,228000
228.1,0,3,1,3,3,2,3,0,2,228100
228.2,2,1,2,2,1,0,3,0,3,228200
228.3,2,0,3,2,2,0,1,0,4,228300
228.4,2,3,3,4,4,1,0,1,0,228400
228.5,3,2,2,0,4,3,1,0,3,228500
228.6,3,0,3,5,5,3,3,0,4,228600
228.7,4,2,0,0,3,2,6,3,3,228700
228.8,5,1,0,1,2,6,6,1,3,228800
228.9,5,2,0,3,5,3,0,0,1,228900
229,0,1,1,5,4,0,5,1,2,229000
229.1,0,1,1,2,5,4,3,0,0,229100
229.2,2,1,3,0,7,0,7,3,5,229200
229.3,2,3,2,3,5,7,7,0,7,229300
229.4,3,3,0,4,4,2,3,0,1,229400
229.5,3,3,1,2,5,5,2,1,3,229500
229.6,1,1,2,1,2,3,2,0,1,229600
229.7,0,1,2,2,5,2,2,0,4,229700
229.8,2,2,1,0,4,3,2,0,1,229800
229.9,1,0,2,3,4,1,8,0,1,229900
230,1,1,2,3,3,3,1,0,4,230000
230.1,2,1,2,2,3,2,4,0,2,230100
230.2,3,2,2,1,4,0,4,1,4,230200
230.3,1,1,1,3,4,2,1,1,2,230300
230.4,0,3,4,0,2,4,3,0,2,230400
230.5,1,2,2,1,2,3,7,0,1,230500
230.6,2,1,1,2,0,2,4,0,4,230600
230.7,6,1,2,2,1,3,3,0,3,230700
230.8,2,1,3,2,3,3,1,1,0,230800
230.9,2,1,5,3,2,0,3,1,4,230900
231,1,2,3,1,4,3,4,0,4,231000
231.1,2,0,4,3,0,1,5,1,1,231100
231.2,1,3,2,4,8,4,4,2,2,231200
231.3,1,1,1,3,4,2,1,0,1,231300
231.4,3,0,5,2,7,0,4,0,2,231400
231.5,3,2,1,3,4,0,5,0,2,231500
231.6,4,1,2,4,3,3,2,1,4,231600
231.7,2,1,3,2,5,4,6,0,5,231700
231.8,3,1,4,0,4,1,5,2,0,231800
231.9,5,0,2,3,1,7,2,0,2,231900
232,0,2,1,3,4,2,3,0,2,232000
232.1,2,2,2,1,4,2,8,1,2,232100
232.2,4,0,3,2,3,3,0,0,14,232200
232.3,0,3,1,3,2,3,0,1,5,232300
232.4,1,1,3,5,3,5,2,0,6,232400
232.5,2,2,4,2,2,5,4,1,1,232500
232.6,2,1,3,2,1,3,4,0,0,232600
232.7,1,0,1,2,6,1,2,0,5,232700
232.8,6,1,2,3,1,3,3,0,3,232800
232.9,3,1,5,1,2,2,5,0,4,232900
233,2,1,4,3,6,3,4,0,4,233000
233.1,5,2,1,3,4,2,6,0,1,233100
233.2,3,3,2,5,4,6,1,0,0,233200
233.3,1,1,2,6,5,4,0,2,2,233300
233.4,5,0,3,4,1,5,4,0,3,233400
233.5,0,2,0,3,2,3,4,1,1,233500
233.6,2,0,2,4,5,0,1,0,4,233600
233.7,3,1,2,8,3,2,2,1,1,233700
233.8,1,1,2,4,9,3,0,0,1,233800
233.9,3,2,2,3,6,6,1,1,2,233900
234,5,1,4,0,4,5,4,0,1,234000
234.1,1,3,0,5,6,4,1,0,2,234100
234.2,1,3,3,2,1,2,4,0,0,234200
234.3,3,4,4,5,2,2,3,0,1,234300
234.4,6,2,2,2,6,4,3,1,3,234400
234.5,0,0,4,1,6,0,4,0,5,234500
234.6,1,4,4,6,3,4,3,0,4,234600
234.7,4,2,2,4,1,6,0,0,9,234700
234.8,3,1,4,3,4,2,1,0,4,234800
234.9,3,1,1,9,3,1,3,3,1,234900
235,1,5,1,2,4,2,3,1,3,235000
235.1,1,2,0,0,4,3,5,1,2,235100
235.2,2,1,0,1,3,1,3,0,0,235200
235.3,2,0,2,2,2,2,5,0,4,235300
235.4,1,2,1,4,4,3,5,0,1,235400
235.5,1,2,2,1,3,3,2,1,1,235500
235.6,2,2,4,0,8,1,4,0,3,235600
235.7,1,1,3,5,1,3,0,0,1,235700
235.8,3,2,6,4,2,0,3,0,4,235800
235.9,0,0,1,5,6,4,2,0,0,235900
236,1,2,2,2,5,4,9,0,3,236000
236.1,1,0,0,1,5,3,2,0,2,236100
236.2,5,2,3,6,4,7,1,4,1,236200
236.3,0,1,1,1,3,6,1,0,3,236300
236.4,1,0,1,2,4,5,3,0,5,236400
236.5,0,3,1,4,4,3,0,0,5,236500
236.6,2,2,1,6,5,2,25,0,1,236600
236.7,0,2,1,2,6,1,34,0,4,236700
236.8,1,2,4,2,0,2,9,0,2,236800
236.9,2,0,4,1,3,5,2,1,2,236900
237,2,0,0,3,8,3,3,0,2,237000
237.1,2,1,4,2,3,0,2,2,5,237100
237.2,3,0,3,3,3,3,4,0,6,237200
237.3,1,1,2,2,3,1,1,0,3,237300
237.4,1,1,4,4,2,4,1,0,4,237400
237.5,3,3,2,3,6,4,3,1,2,237500
237.6,0,0,5,2,8,2,3,0,1,237600
237.7,3,2,6,4,4,0,0,0,2,237700
237.8,0,3,6,4,5,3,1,1,1,237800
237.9,3,1,0,0,3,4,0,0,2,237900
238,0,2,1,5,5,4,2,0,0,238000
238.1,3,1,7,4,3,4,6,0,2,238100
238.2,2,1,1,2,7,1,4,0,2,238200
238.3,5,0,2,1,3,2,5,3,4,238300
238.4,3,0,3,1,5,1,2,0,3,238400
238.5,2,1,1,3,5,3,5,1,3,238500
238.6,2,0,0,0,3,6,1,1,3,238600
238.7,3,2,1,1,4,3,6,1,3,238700
238.8,4,1,0,1,2,0,1,0,1,238800
238.9,3,0,3,3,2,2,6,0,4,238900
239,2,1,3,5,3,3,3,3,3,239000
239.1,1,2,1,2,5,2,0,0,4,239100
239.2,3,4,0,2,3,3,1,1,2,239200
239.3,3,1,4,0,3,2,3,0,4,239300
239.4,4,1,2,4,2,7,1,0,1,239400
239.5,4,1,1,0,5,4,3,0,2,239500
239.6,3,4,3,4,2,2,2,0,8,239600
239.7,2,1,0,2,5,3,0,0,6,239700
239.8,6,3,2,1,5,0,2,0,5,239800
239.9,3,1,3,2,2,3,4,0,8,239900
240,2,2,4,3,6,2,8,0,2,240000
240.1,3,0,3,5,2,2,3,1,3,240100
240.2,1,2,3,1,1,0,7,0,2,240200
240.3,3,3,4,1,2,5,4,1,10,240300
240.4,3,0,3,1,3,2,5,0,2,240400
240.5,0,2,6,2,1,5,6,2,0,240500
240.6,0,0,4,2,5,6,4,0,2,240600
240.7,1,2,2,3,4,1,2,0,2,240700
240.8,4,1,3,2,1,3,2,0,1,240800
240.9,0,1,0,3,4,2,5,0,5,240900
241,2,1,3,5,2,2,2,1,3,241000
241.1,1,1,5,1,1,1,5,0,0,241100
241.2,3,3,3,2,1,3,2,1,4,241200
241.3,6,2,1,2,2,5,0,0,8,241300
241.4,2,0,2,3,8,1,1,0,8,241400
241.5,2,4,2,2,2,0,2,1,1,241500
241.6,1,2,0,2,5,0,3,0,0,241600
241.7,1,3,2,0,4,2,2,0,1,241700
241.8,2,1,5,0,5,1,4,0,2,241800
241.9,3,3,4,5,4,2,1,0,0,241900
242,1,2,0,1,3,5,3,0,2,242000
242.1,1,1,1,3,7,4,6,1,5,242100
242.2,4,2,3,3,3,2,2,0,1,242200
242.3,4,1,2,2,4,1,4,1,2,242300
242.4,2,0,0,1,4,2,3,0,1,242400
242.5,2,1,2,5,6,3,6,0,2,242500
242.6,3,4,2,1,3,5,4,0,2,242600
242.7,1,3,5,3,3,3,19,1,7,242700
242.8,3,0,2,2,2,2,31,0,3,242800
242.9,2,1,4,2,3,1,15,0,1,242900
243,1,2,4,2,2,5,4,0,7,243000
243.1,0,1,0,2,5,6,2,1,1,243100
243.2,1,1,1,5,5,1,6,0,7,243200
243.3,1,0,5,1,6,4,4,0,6,243300
243.4,1,1,2,1,3,2,4,0,4,243400
243.5,1,4,2,3,5,1,2,0,5,243500
243.6,1,1,6,2,2,4,7,0,3,243600
243.7,0,3,2,0,1,5,9,0,2,243700
243.8,1,2,0,6,9,1,7,0,3,243800
243.9,1,2,1,3,8,3,3,0,4,243900
244,3,1,1,1,3,2,3,0,3,244000
244.1,2,1,4,2,1,7,3,1,7,244100
244.2,1,3,5,3,1,2,3,0,3,244200
244.3,0,2,4,3,4,0,1,0,4,244300
244.4,2,1,4,2,1,4,3,0,2,244400
244.5,2,0,0,2,7,2,7,0,6,244500
244.6,3,3,1,4,6,1,6,1,5,244600
244.7,2,4,1,1,2,3,4,1,3,244700
244.8,5,1,4,1,6,3,5,1,5,244800
244.9,0,0,1,3,4,4,3,1,2,244900
245,5,4,2,3,1,0,2,0,2,245000
245.1,0,2,3,0,3,3,4,1,2,245100
245.2,1,1,1,6,5,1,3,2,3,245200
245.3,0,1,5,1,3,3,0,1,2,245300
245.4,2,2,2,1,3,1,4,2,3,245400
245.5,1,2,5,2,4,2,3,1,5,245500
245.6,2,3,2,4,3,4,2,0,4,245600
245.7,1,2,2,2,2,2,2,0,1,245700
245.8,2,2,2,1,4,3,3,1,1,245800
245.9,2,2,1,4,3,3,5,1,1,245900
246,2,0,2,2,11,1,2,0,1,246000
246.1,1,1,3,0,5,4,5,0,2,246100
246.2,4,2,4,4,4,4,2,0,0,246200
246.3,2,1,4,3,4,3,3,0,7,246300
246.4,2,2,2,5,5,1,0,0,2,246400
246.5,3,3,3,1,6,2,0,0,1,246500
246.6,0,4,2,3,5,5,2,0,2,246600
