,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,
12.8,1,2,1,1,5,2,2,0,2,12800
12.9,0,0,2,2,3,2,3,0,4,12900
13,2,2,0,2,2,2,5,0,2,13000
13.1,2,1,3,1,3,0,1,0,1,13100
13.2,1,1,0,3,2,2,3,0,4,13200
13.3,2,0,1,3,2,1,1,1,3,13300
13.4,1,0,0,1,3,1,2,0,5,13400
13.5,1,3,1,0,5,1,0,1,2,13500
13.6,1,1,0,3,1,2,3,2,0,13600
13.7,2,4,2,0,2,1,2,1,1,13700
13.8,2,1,3,1,2,2,0,0,2,13800
13.9,0,1,5,0,2,2,0,0,0,13900
14,0,1,2,1,2,2,3,0,5,14000
14.1,1,0,0,0,2,4,2,0,1,14100
14.2,1,1,4,1,0,6,1,0,5,14200
14.3,3,0,1,0,2,0,1,0,3,14300
14.4,1,1,0,0,3,1,1,0,1,14400
14.5,2,2,2,1,4,1,0,0,2,14500
14.6,3,1,0,2,3,1,6,2,3,14600
14.7,0,0,2,1,2,3,2,0,1,14700
14.8,0,0,0,3,3,4,2,0,5,14800
14.9,2,3,0,3,5,5,2,0,3,14900
15,1,0,1,3,3,2,5,1,1,15000
15.1,0,2,2,1,6,0,2,0,3,15100
15.2,1,3,1,1,2,2,3,0,3,15200
15.3,4,3,1,2,3,0,1,1,0,15300
15.4,0,2,3,1,4,2,6,1,1,15400
15.5,1,1,2,0,3,1,4,1,1,15500
15.6,6,3,2,4,4,0,2,0,1,15600
15.7,2,0,0,2,1,3,33,0,5,15700
15.8,2,2,4,1,1,4,15,0,4,15800
15.9,0,2,1,0,4,2,9,1,2,15900
16,0,1,2,3,0,4,3,0,1,16000
16.1,3,0,3,3,1,1,0,1,2,16100
16.2,2,0,3,0,4,1,0,0,3,16200
16.3,5,1,5,2,4,5,2,0,3,16300
16.4,2,1,0,1,4,2,1,0,1,16400
16.5,0,0,3,1,3,3,2,1,1,16500
16.6,1,1,1,3,5,5,30,1,5,16600
16.7,0,0,3,1,3,1,10,0,2,16700
16.8,2,0,1,3,3,2,5,0,2,16800
16.9,1,1,3,2,3,2,6,1,2,16900
17,2,0,2,3,2,1,0,1,6,17000
17.1,2,0,1,3,1,2,4,0,3,17100
17.2,1,0,1,1,1,0,23,0,2,17200
17.3,1,0,1,1,2,2,25,0,7,17300
17.4,0,2,1,3,2,3,28,0,2,17400
17.5,3,1,1,2,0,4,7,1,2,17500
17.6,1,1,0,2,3,3,4,0,1,17600
17.7,2,2,2,6,3,5,5,0,4,17700
17.8,2,0,0,1,3,7,1,0,5,17800
17.9,0,0,2,0,3,3,3,0,4,17900
18,0,1,1,1,1,4,3,1,1,18000
18.1,1,0,0,1,2,0,3,0,1,18100
18.2,2,4,3,2,2,1,0,0,5,18200
18.3,2,2,2,3,3,2,4,0,3,18300
18.4,1,2,1,3,5,2,5,0,2,18400
18.5,3,3,1,2,1,2,0,0,2,18500
18.6,0,2,1,1,0,1,4,0,0,18600
18.7,0,2,3,2,1,0,7,1,1,18700
18.8,3,0,4,3,0,0,8,0,3,18800
18.9,2,0,0,2,4,3,1,1,2,18900
19,2,6,3,1,4,0,1,0,2,19000
19.1,3,0,0,0,1,2,1,1,0,19100
19.2,1,2,0,3,3,2,2,1,2,19200
19.3,2,0,3,2,2,2,3,1,4,19300
19.4,1,1,3,0,2,1,6,0,4,19400
19.5,2,2,2,2,2,3,5,0,1,19500
19.6,3,0,1,3,4,0,6,1,1,19600
19.7,0,0,0,3,4,2,1,0,2,19700
19.8,0,3,2,3,1,1,2,1,2,19800
19.9,1,0,1,4,1,3,2,2,2,19900
20,0,0,4,4,3,2,0,2,2,20000
20.1,2,0,2,2,2,3,0,2,5,20100
20.2,0,1,0,3,1,1,1,0,0,20200
20.3,1,3,2,1,1,1,2,0,2,20300
20.4,1,2,0,2,6,2,10,0,3,20400
20.5,3,0,0,1,2,0,2,0,0,20500
20.6,0,0,2,1,2,1,2,1,1,20600
20.7,2,0,1,2,4,2,4,1,3,20700
20.8,2,1,2,5,3,2,3,1,1,20800
20.9,1,0,1,1,0,0,3,0,0,20900
21,2,1,3,2,2,1,3,1,3,21000
21.1,2,1,1,1,6,5,4,1,1,21100
21.2,1,0,1,1,1,5,2,0,5,21200
21.3,1,0,1,2,2,2,2,0,3,21300
21.4,1,1,2,3,2,1,5,0,1,21400
21.5,2,1,1,1,2,0,3,0,0,21500
21.6,2,2,2,1,0,0,2,1,1,21600
21.7,0,0,2,2,2,1,1,1,3,21700
21.8,0,1,1,1,1,2,0,0,0,21800
21.9,2,0,2,3,5,1,5,0,1,21900
22,3,4,0,2,4,1,1,0,2,22000
22.1,1,0,2,2,3,3,4,0,4,22100
22.2,1,0,3,0,5,2,3,0,4,22200
22.3,1,0,0,2,6,3,1,0,1,22300
22.4,2,1,2,1,0,2,2,0,4,22400
22.5,0,1,4,0,2,2,1,1,2,22500
22.6,1,1,4,2,1,1,2,0,2,22600
22.7,0,3,4,3,3,3,4,0,1,22700
22.8,2,0,5,2,2,4,0,1,1,22800
22.9,0,1,1,1,6,0,2,0,5,22900
23,1,1,0,2,3,3,2,1,3,23000
23.1,2,1,2,1,1,1,0,0,2,23100
23.2,2,0,4,0,1,2,1,2,2,23200
23.3,9,2,3,1,2,3,1,1,2,23300
23.4,2,0,3,0,4,1,2,0,3,23400
23.5,0,0,1,2,3,2,2,0,3,23500
23.6,3,1,1,1,3,3,1,0,2,23600
23.7,1,1,6,2,3,1,4,0,3,23700
23.8,1,0,0,1,2,1,4,0,2,23800
23.9,2,1,0,1,3,0,7,0,2,23900
24,0,0,1,0,3,5,5,1,8,24000
24.1,0,4,0,0,2,1,5,0,0,24100
24.2,0,1,1,0,3,2,1,0,0,24200
24.3,1,1,1,2,2,5,3,0,3,24300
24.4,1,2,4,1,4,0,2,1,2,24400
24.5,2,1,3,2,0,1,3,2,2,24500
24.6,2,1,0,1,6,2,3,0,4,24600
24.7,0,1,3,0,2,6,4,0,1,24700
24.8,0,0,3,3,3,2,4,0,3,24800
24.9,3,1,3,4,2,1,3,1,3,24900
25,1,0,5,1,3,1,2,0,3,25000
25.1,1,1,1,2,2,2,3,0,21,25100
25.2,1,1,3,5,2,2,4,1,2,25200
25.3,1,0,1,2,1,1,2,0,1,25300
25.4,3,1,1,0,4,3,0,0,4,25400
25.5,4,2,3,3,3,2,2,0,2,25500
25.6,1,1,2,3,2,2,1,0,1,25600
25.7,1,3,3,2,2,3,0,0,2,25700
25.8,2,1,2,0,2,2,4,1,1,25800
25.9,0,2,0,1,2,0,1,2,2,25900
26,0,3,3,1,2,1,2,0,2,26000
26.1,2,1,3,1,2,1,1,0,5,26100
26.2,0,3,3,2,3,4,2,1,2,26200
26.3,2,0,1,2,4,2,0,0,2,26300
26.4,0,2,1,5,5,2,1,1,1,26400
26.5,2,0,2,2,2,2,1,0,6,26500
26.6,1,2,3,1,3,3,10,0,5,26600
26.7,2,3,1,2,2,4,6,0,2,26700
26.8,1,2,1,2,2,2,3,0,1,26800
26.9,1,0,2,1,4,2,6,1,2,26900
27,1,0,1,3,4,3,5,0,2,27000
27.1,2,2,1,3,1,1,6,0,2,27100
27.2,2,3,1,1,1,3,1,0,2,27200
27.3,1,1,2,1,3,1,1,1,4,27300
27.4,3,2,4,1,1,4,2,0,4,27400
27.5,0,0,3,3,3,3,2,2,1,27500
27.6,3,2,1,1,3,3,3,1,3,27600
27.7,1,0,1,2,3,2,2,0,4,27700
27.8,1,0,2,4,1,2,0,1,4,27800
27.9,2,1,2,2,3,1,3,0,3,27900
28,1,0,1,1,3,1,1,1,1,28000
28.1,0,3,1,4,8,1,8,0,1,28100
28.2,2,2,0,1,3,6,7,0,4,28200
28.3,3,2,5,1,5,3,4,1,1,28300
28.4,2,2,2,0,2,3,2,0,3,28400
28.5,1,1,2,1,4,3,3,1,8,28500
28.6,0,0,2,1,0,3,2,0,1,28600
28.7,1,1,5,1,3,4,2,0,6,28700
28.8,0,1,2,4,3,2,1,0,0,28800
28.9,3,1,1,1,1,2,1,0,2,28900
29,2,0,1,2,0,2,4,0,3,29000
29.1,3,2,1,1,3,3,0,0,1,29100
29.2,1,1,2,1,0,3,1,0,3,29200
29.3,0,1,2,4,1,4,0,1,4,29300
29.4,1,3,1,0,2,3,4,1,8,29400
29.5,2,1,0,1,3,2,3,1,1,29500
29.6,3,0,4,2,2,1,6,0,4,29600
29.7,3,1,4,4,4,3,6,0,3,29700
29.8,0,0,1,1,2,1,1,0,2,29800
29.9,1,1,0,2,2,1,3,0,2,29900
30,0,1,1,0,3,2,3,1,3,30000
30.1,1,1,0,2,2,2,1,0,0,30100
30.2,1,1,3,1,3,3,2,0,2,30200
30.3,0,1,1,1,4,4,7,0,2,30300
30.4,2,1,1,0,4,3,5,0,1,30400
30.5,2,1,1,3,3,1,8,0,0,30500
30.6,3,2,2,0,3,1,4,1,3,30600
30.7,0,1,1,2,3,3,0,0,0,30700
30.8,1,2,2,4,5,3,0,0,3,30800
30.9,1,3,1,1,1,1,4,1,1,30900
31,1,0,0,3,2,3,10,1,3,31000
31.1,1,0,0,1,2,4,2,1,1,31100
31.2,1,1,1,2,2,1,2,0,4,31200
31.3,2,0,2,2,4,2,3,0,1,31300
31.4,0,0,0,1,1,2,1,0,0,31400
31.5,0,1,1,0,1,3,1,0,2,31500
31.6,3,2,1,6,7,2,7,1,2,31600
31.7,0,1,1,6,4,2,1,0,1,31700
31.8,1,2,2,0,4,4,2,1,3,31800
31.9,2,1,0,0,3,5,0,1,1,31900
32,4,1,0,0,2,3,0,2,2,32000
32.1,1,1,3,2,1,1,3,1,1,32100
32.2,2,0,1,4,5,1,4,0,0,32200
32.3,0,1,3,1,2,2,0,0,4,32300
32.4,1,1,2,1,2,0,6,1,5,32400
32.5,1,3,0,1,4,3,4,0,4,32500
32.6,4,1,3,0,3,4,3,0,0,32600
32.7,3,1,1,1,1,0,1,0,2,32700
32.8,1,2,3,0,1,0,0,2,2,32800
32.9,0,0,0,2,2,3,2,0,2,32900
33,0,2,1,1,5,1,3,0,3,33000
33.1,1,1,1,2,3,0,5,0,2,33100
33.2,0,1,2,3,4,0,3,0,3,33200
33.3,1,0,2,3,1,4,5,1,1,33300
33.4,2,0,2,1,5,1,3,0,1,33400
33.5,1,0,4,2,4,3,1,0,1,33500
33.6,1,0,2,2,3,1,1,0,3,33600
33.7,0,0,3,1,1,4,2,0,2,33700
33.8,1,0,1,2,3,4,3,0,3,33800
33.9,0,1,3,2,2,1,3,0,1,33900
34,5,2,1,1,2,3,3,0,2,34000
34.1,2,1,2,5,3,1,1,0,2,34100
34.2,1,3,4,0,2,1,1,0,4,34200
34.3,1,1,3,3,1,2,0,0,3,34300
34.4,1,1,1,1,1,5,1,0,2,34400
34.5,0,2,3,2,5,1,6,0,3,34500
34.6,2,0,2,3,2,4,3,1,6,34600
34.7,1,0,0,4,2,3,2,0,0,34700
34.8,0,1,2,2,4,4,1,0,4,34800
34.9,1,1,1,3,2,4,1,1,2,34900
35,0,1,1,0,3,0,0,0,1,35000
35.1,0,0,5,2,0,3,1,0,2,35100
35.2,1,3,0,1,4,3,1,0,2,35200
35.3,1,1,1,2,2,2,3,1,3,35300
35.4,1,0,2,0,2,2,3,0,5,35400
35.5,2,2,2,0,4,1,2,1,1,35500
35.6,1,2,1,2,4,4,0,1,2,35600
35.7,1,0,1,2,2,1,1,1,2,35700
35.8,1,2,1,2,3,2,2,1,3,35800
35.9,1,3,1,1,2,1,1,0,3,35900
36,3,1,3,1,5,3,1,0,3,36000
36.1,0,2,1,2,4,6,1,1,2,36100
36.2,0,0,2,2,3,1,0,0,1,36200
36.3,0,1,3,1,4,2,0,0,1,36300
36.4,0,1,0,2,2,2,3,0,1,36400
36.5,2,3,1,0,1,1,6,0,2,36500
36.6,1,1,2,0,1,2,2,0,0,36600
36.7,0,1,0,4,2,3,0,0,0,36700
36.8,1,0,1,3,4,1,7,0,1,36800
36.9,0,1,0,3,4,5,2,1,2,36900
37,1,2,3,3,4,0,12,0,6,37000
37.1,1,2,2,3,2,3,16,0,0,37100
37.2,0,0,0,1,3,0,9,0,1,37200
37.3,0,1,1,1,3,2,3,0,1,37300
37.4,5,0,3,3,0,1,1,0,3,37400
37.5,2,2,3,1,3,0,1,1,4,37500
37.6,1,0,1,2,3,1,3,0,0,37600
37.7,0,1,2,0,1,2,3,0,3,37700
37.8,3,1,0,2,4,4,1,0,4,37800
37.9,2,1,2,3,1,1,3,2,1,37900
38,3,1,2,0,1,1,0,1,3,38000
38.1,2,0,1,2,4,6,1,0,2,38100
38.2,3,3,0,1,0,3,3,0,1,38200
38.3,0,0,0,2,2,3,3,0,7,38300
38.4,1,1,1,3,4,3,17,1,2,38400
38.5,2,4,1,0,3,3,5,0,3,38500
38.6,0,1,3,2,3,5,8,0,1,38600
38.7,0,1,3,4,0,1,2,0,3,38700
